RUNS,WEEK,Sessions,R0classroom,R0cheaters,%cheat,careless groupsize,town party size,weekly town parties,faculty % online,facultyF2F,studentsF2F,starters,meaninfected,meaninfectedinclass,maxinfected,maxinfectedinclass,meanatriskFacultyInfected,meanatriskStudentsInfected,maxatriskFacultyInfected,maxatriskStudentsInfected
101,0,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,3,3,3,3,0,0,0,0
101,1,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,66,51,77,56,0,0,2,4
101,2,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,120,80,156,95,1,3,3,6
101,3,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,198,126,254,155,1,4,3,8
101,4,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,304,189,392,244,2,8,4,13
101,5,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,424,270,542,348,2,9,6,19
101,6,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,550,364,676,474,3,13,8,23
101,7,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,665,459,804,587,4,15,9,27
101,8,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,760,547,907,685,6,17,11,31
101,9,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,836,618,985,763,6,19,12,33
101,10,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,895,678,1044,822,8,22,13,35
101,11,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,944,725,1093,870,8,23,15,35
101,12,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,982,764,1130,907,9,24,17,38
101,13,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,1012,793,1159,936,9,25,18,38
101,14,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,1035,817,1183,960,9,25,18,38
101,15,518,0.81,1.15,0.1,7,80,6,0.4,210,4442,14,1054,836,1200,977,9,24,18,38
